1750,1488
982,339
979,1112
392,431
862,926
828,572
971,797
895,1179
873,456
635,1164
791,829
794,545
768,507
650,449
655,428
940,1580
911,1501
670,1082
938,701
1195,477
1089,534
382,1493
604,1304
858,1449
782,377
770,1377
793,1372
973,648
632,477
974,1112
710,1305
1325,1219
1104,570
766,1041
763,1044
753,970
770,452
526,1612
769,781
1359,1128
1158,664
1497,1584
1212,342
1022,1572
1289,464
420,378
1249,1013
1207,1030
463,518
1034,371
1740,799
1679,1224
1691,1245
1693,1209
857,1238
1562,602
1721,1387
1702,1387
596,847
616,828
1307,767
696,1441
1719,1384
1185,441
796,546
722,475
1126,518
1138,686
1550,434
1430,1212
1569,1533
1298,1412
702,479
1785,675
1721,926
1683,1010
1554,1111
1257,870
929,431
1555,1459
1502,397
1667,696
1583,1543
1571,1529
1010,940
1742,502
1065,1352
1273,1542
1863,1399
1254,950
1895,1280
1876,1448
1895,1408
1393,1439
2064,646
2019,353
1767,378
1838,812
1817,799
1944,350
1768,381
696,1250
1418,1004
2064,1373
1767,878
2384,969
1831,1620
1887,1629
1877,989
2391,1086
2384,612
2122,897
1253,1016
2236,990
2355,1368
2390,1401
2408,1433
1757,1406
2054,1537
2083,1540
2408,748
2382,1244
2292,707
1811,589
1896,1412
2383,1447
2353,1448
2423,1121
2129,458
2239,989
2247,1040
2234,1033
877,458
2063,832
2281,1069
1865,997
1908,1005
1042,654
2407,752
2398,850
2374,842
1694,1251
764,509
789,586
2141,1492
2434,1332
2378,1337
2183,526
2078,1020
2250,1330
2243,1378
766,454
941,701
2403,671
2011,1279
1342,1483
2215,649
2093,435
2053,411
714,630
677,673
2495,1503
2148,1495
1269,926
2499,672
2100,1612
1773,1580
2459,1268
2317,919
2711,1298
2576,1046
1920,570
2501,324
2150,1501
2559,841
2206,885
2477,959
2620,1170
2598,1216
2633,1217
2586,1177
2560,1210
2570,1551
1982,1522
2780,812
2377,1342
2649,965
2625,972
2705,1346
2768,1238
2833,1271
2846,1284
2188,986
2783,775
2807,804
2779,816
1995,1135
2793,1520
2819,1319
2036,517
2503,1363
2835,551
2247,1333
2360,474
2387,614
2316,616
2017,458
2028,451
2362,869
2667,1510
2655,1546
2655,1094
1526,765
1993,655
2382,1341
2581,1097
2848,1358
2499,1495
2850,1353
2863,1530
2699,484
2673,962
2734,1169
2703,1170
2677,960
2553,893
1870,998
2384,973
2345,963
1997,652
2548,1430
396,431
2565,1209
2058,411
2566,723
2544,1430
2783,816
786,379
2898,1552
885,629
760,505
2524,621
2808,1166
2768,722
1261,867
1554,1107
1362,1582
2830,553
2803,1313
2773,721
1571,751
1522,768
1584,1547
1739,803
1433,1076
1753,1405
1263,927
1860,1013
2059,833
673,675
2248,1457
2227,1422
2351,1015
1912,1005
974,1101
968,1167
983,1106
2547,893
2271,787
